instance_idx,mu,sigma,h,b,c_e,c_r,l_e,l_r,S_e,S_r,gap_vs_cdi_pct,timestamp
0,5.88,2.94,0.946,12.283,0.373,0.342,2,3,22,27,-8.62513,2026-08-13 21:06:00
1,7.035,3.518,0.913,10.332,0.673,0.521,2,3,19,33,-9.40606,2026-08-13 21:10:24
2,6.911,3.455,1.012,14.632,0.379,0.296,2,3,22,35,-10.5077,2026-08-13 21:14:13
3,7.097,3.549,1.255,13.671,0.72,0.551,2,3,19,33,-8.02067,2026-08-13 21:18:08
4,4.593,2.296,0.91,7.126,0.471,0.122,1,3,7,15,-1.80885,2026-08-13 21:22:23
5,5.864,2.932,0.898,12.253,0.225,0.141,1,2,12,17,-6.22223,2026-08-13 21:26:48
6,5.302,2.651,0.944,9.144,0.611,0.562,1,2,10,14,-3.55075,2026-08-13 21:30:15
7,4.162,2.081,1.206,7.252,0.117,0.115,1,3,6,10,-0.12012,2026-08-13 21:33:47
8,7.09,3.545,0.899,10.702,0.735,0.49,2,3,19,34,-9.38906,2026-08-13 21:37:49
9,6.427,3.213,0.822,7.306,0.996,0.428,1,3,10,23,-1.45323,2026-08-13 21:41:26
10,6.382,3.191,0.901,11.281,0.336,0.247,2,3,24,29,-8.9964,2026-08-13 21:46:20
11,7.997,3.998,1.217,9.65,0.253,0.206,1,3,13,23,-1.13737,2026-08-13 21:50:43
12,7.698,3.849,0.804,10.81,0.159,0.156,1,2,16,22,-5.1915,2026-08-13 21:54:58
13,5.753,2.877,0.871,7.357,0.306,0.14,2,3,14,25,-7.56771,2026-08-13 21:58:25
14,5.845,2.922,1.283,7.636,0.571,0.305,1,2,8,13,-1.0768,2026-08-13 22:02:16
15,7.371,3.686,1.139,8.014,0.351,0.242,2,3,22,28,-4.95167,2026-08-13 22:06:46
16,4.402,2.201,1.009,7.187,0.276,0.168,1,2,7,10,-1.49188,2026-08-13 22:10:12
17,5.28,2.64,1.241,12.501,0.902,0.137,2,3,12,25,-7.46761,2026-08-13 22:13:52
18,6.177,3.088,0.771,14.361,0.748,0.51,1,2,14,21,-7.06426,2026-08-13 22:17:59
19,6.071,3.035,1.254,14.452,0.289,0.22,2,3,22,27,-7.45258,2026-08-13 22:22:21
20,4.695,2.348,0.752,9.88,0.819,0.219,2,3,12,24,-9.52113,2026-08-13 22:26:12
21,4.417,2.208,1.079,14.436,0.606,0.603,2,3,17,20,-6.76385,2026-08-13 22:30:57
22,4.432,2.216,0.869,6.798,0.728,0.1,1,2,6,12,0.14622,2026-08-13 22:33:57
23,4.246,2.123,0.826,11.353,0.662,0.448,1,2,9,13,-5.09003,2026-08-13 22:36:53
24,6.578,3.289,0.972,9.61,0.526,0.216,1,3,11,22,-2.82047,2026-08-13 22:40:04
25,7.338,3.669,0.969,13.058,0.296,0.215,1,3,15,26,-4.49114,2026-08-13 22:43:18
26,6.378,3.189,0.818,6.338,0.289,0.159,1,2,10,16,-1.53921,2026-08-13 22:47:05
27,5.427,2.713,1.164,11.866,0.207,0.172,2,3,19,23,-6.65978,2026-08-13 22:51:31
28,5.677,2.838,0.998,14.764,0.293,0.19,1,2,12,17,-6.40476,2026-08-13 22:55:04
29,5.726,2.863,1.263,5.107,0.406,0.398,1,3,8,9,0.593542,2026-08-13 22:58:48
30,6.664,3.332,1.177,6.577,0.644,0.158,1,3,9,20,0.140951,2026-08-13 23:03:56
31,4.27,2.135,0.884,13.828,0.257,0.235,1,3,10,15,-6.18337,2026-08-13 23:10:05
32,5.98,2.99,0.995,8.629,0.52,0.282,1,3,9,19,-3.17594,2026-08-13 23:14:54
33,4.64,2.32,1.273,12.703,0.207,0.146,2,3,16,19,-6.95019,2026-08-13 23:20:20
34,6.82,3.41,1.247,5.544,0.492,0.11,1,3,9,18,1.17382,2026-08-13 23:25:49
35,4.924,2.462,1.042,8.176,0.883,0.208,1,2,7,13,-1.72134,2026-08-13 23:29:48
36,5.726,2.863,1.035,14.433,0.735,0.269,1,2,11,18,-5.44033,2026-08-13 23:35:27
37,7.758,3.879,0.944,10.143,0.279,0.196,2,3,22,36,-9.49541,2026-08-13 23:40:56
38,7.154,3.577,1.159,13.297,0.932,0.559,1,3,13,26,-3.25608,2026-08-13 23:45:20
39,6.366,3.183,0.869,9.499,0.2,0.14,2,3,23,28,-8.23102,2026-08-13 23:50:22
40,6.088,3.044,0.953,7.38,0.802,0.351,1,3,9,20,-1.46263,2026-08-13 23:55:08
41,6.292,3.146,0.981,7.863,0.708,0.662,2,3,20,25,-4.9861,2026-08-13 23:59:00
42,4.215,2.107,1.011,8.806,0.686,0.254,2,3,10,19,-7.51755,2026-08-14 00:08:09
43,5.265,2.632,0.756,11.882,0.825,0.197,1,2,11,18,-6.41907,2026-08-14 00:11:04
44,5.854,2.927,1.143,7.812,0.323,0.216,1,2,9,14,-2.1004,2026-08-14 00:14:41
45,7.852,3.926,0.719,14.111,0.532,0.258,2,3,28,45,-10.7641,2026-08-14 00:20:28
46,5.5,2.75,0.954,5.641,0.75,0.187,1,3,7,17,-0.343455,2026-08-14 00:24:18
47,4.763,2.381,0.853,12.673,0.961,0.753,2,3,15,25,-8.04481,2026-08-14 00:29:09
48,7.097,3.549,1.18,11.709,0.568,0.541,1,2,13,18,-4.69949,2026-08-14 00:34:30
49,4.77,2.385,0.76,9.723,0.34,0.211,1,3,9,17,-4.74367,2026-08-14 00:39:38
