instance_idx,mu,sigma,h,b,c_e,c_r,l_e,l_r,S_e,S_r,gap_vs_cdi_pct,timestamp
0,6.701,3.35,1.0,2.94,1.285,1.151,2,5,15,20,16.3392,2026-08-13 09:59:52
1,9.572,4.786,1.0,3.059,2.179,1.423,3,4,1,44,-2.219,2026-08-13 10:01:52
2,5.542,2.771,1.0,2.157,2.501,0.624,3,5,1,30,35.3449,2026-08-13 10:03:43
3,9.041,4.521,1.0,2.125,2.952,2.951,1,5,9,9,5.93207,2026-08-13 10:05:56
4,8.892,4.446,1.0,2.938,3.706,3.098,1,4,10,28,3.46605,2026-08-13 10:07:58
5,7.316,3.658,1.0,3.483,3.919,3.043,2,5,9,39,3.87019,2026-08-13 10:09:49
6,6.659,3.329,1.0,2.929,0.642,0.277,2,4,7,28,4.62493,2026-08-13 10:11:37
7,5.453,2.727,1.0,0.884,1.765,0.627,1,5,2,19,1.72459,2026-08-13 10:13:29
8,11.05,5.525,1.0,1.687,0.898,0.698,1,2,11,17,6.28859,2026-08-13 10:15:26
9,11.711,5.856,1.0,1.11,2.072,1.623,4,5,1,59,-10.0928,2026-08-13 10:17:49
10,10.044,5.022,1.0,1.742,0.537,0.472,4,5,1,52,-10.7431,2026-08-13 10:20:03
11,9.804,4.902,1.0,1.021,1.911,0.346,2,4,1,38,-5.38637,2026-08-13 10:21:54
12,6.933,3.466,1.0,3.362,0.651,0.313,2,4,8,30,3.90169,2026-08-13 10:23:45
13,5.355,2.678,1.0,2.863,2.88,2.494,1,4,6,15,2.83021,2026-08-13 10:25:36
14,5.318,2.659,1.0,0.907,2.778,0.362,1,4,1,19,9.32919,2026-08-13 10:27:25
15,2.043,1.022,1.0,0.688,2.845,1.062,1,3,1,6,-8.57387,2026-08-13 10:29:06
16,3.956,1.978,1.0,1.209,2.811,1.731,3,4,1,16,-3.93161,2026-08-13 10:30:53
17,7.237,3.619,1.0,1.8,3.891,0.862,1,3,1,23,7.25854,2026-08-13 10:32:40
18,5.014,2.507,1.0,1.186,2.302,1.71,3,5,1,25,2.21865,2026-08-13 10:34:28
19,3.006,1.503,1.0,0.953,0.862,0.396,3,5,1,14,30.9039,2026-08-13 10:36:13
20,10.502,5.251,1.0,1.348,3.025,2.707,1,2,8,17,2.28526,2026-08-13 10:38:07
21,7.789,3.894,1.0,3.735,2.222,2.086,1,3,10,17,4.17748,2026-08-13 10:40:00
22,3.186,1.593,1.0,0.317,0.589,0.506,4,5,1,12,-10.7431,2026-08-13 10:41:46
23,11.238,5.619,1.0,3.791,0.778,0.431,1,4,13,34,24.7093,2026-08-13 10:44:05
24,3.62,1.81,1.0,0.589,0.507,0.484,3,5,3,3,-0.336417,2026-08-13 10:45:48
25,10.125,5.062,1.0,2.457,0.218,0.113,1,4,11,19,30.8598,2026-08-13 10:48:08
26,7.443,3.721,1.0,1.327,0.579,0.114,1,2,4,13,3.43123,2026-08-13 10:49:55
27,3.038,1.519,1.0,3.444,2.726,2.028,4,5,1,18,26.0775,2026-08-13 10:51:41
28,4.079,2.039,1.0,0.841,0.826,0.328,3,4,1,15,2.00961,2026-08-13 10:53:29
29,8.343,4.171,1.0,3.355,3.243,0.783,4,5,1,51,24.9783,2026-08-13 10:55:37
30,10.667,5.333,1.0,3.469,2.418,0.41,1,5,10,52,34.9076,2026-08-13 10:58:04
31,3.604,1.802,1.0,1.652,3.035,1.147,1,2,1,8,3.42242,2026-08-13 10:59:47
32,3.193,1.597,1.0,2.731,3.114,2.367,2,5,3,16,12.3883,2026-08-13 11:01:33
33,8.586,4.293,1.0,0.247,2.473,1.416,3,5,1,36,-29.4333,2026-08-13 11:03:35
34,10.058,5.029,1.0,1.783,0.142,0.114,2,3,10,31,-1.79813,2026-08-13 11:05:31
35,8.661,4.33,1.0,0.715,2.457,0.353,2,5,1,40,-11.4419,2026-08-13 11:07:23
36,2.675,1.337,1.0,3.543,0.782,0.687,2,3,7,8,23.0067,2026-08-13 11:09:09
37,11.472,5.736,1.0,1.084,0.729,0.624,2,5,20,20,3.60313,2026-08-13 11:11:54
38,11.443,5.721,1.0,2.492,0.724,0.581,1,3,13,21,19.6079,2026-08-13 11:14:00
39,5.634,2.817,1.0,2.583,0.805,0.597,1,2,6,10,8.27128,2026-08-13 11:15:48
40,8.596,4.298,1.0,3.584,3.26,2.912,2,3,11,30,-0.334639,2026-08-13 11:17:37
41,4.309,2.155,1.0,1.339,3.491,0.566,4,5,1,24,15.4036,2026-08-13 11:19:30
42,7.838,3.919,1.0,1.782,3.779,2.697,2,3,1,25,-0.86312,2026-08-13 11:21:25
43,6.34,3.17,1.0,0.722,1.001,0.1,1,3,1,15,-0.0510315,2026-08-13 11:23:14
44,3.988,1.994,1.0,2.188,1.687,1.009,1,4,4,12,10.7342,2026-08-13 11:25:10
45,10.297,5.149,1.0,3.707,2.253,1.747,2,3,12,37,-0.498477,2026-08-13 11:27:03
46,7.914,3.957,1.0,1.855,0.534,0.273,2,3,7,25,-1.02995,2026-08-13 11:28:51
47,5.182,2.591,1.0,2.136,1.028,0.823,2,4,5,21,3.18377,2026-08-13 11:30:43
48,4.269,2.135,1.0,3.176,2.335,0.74,1,5,4,20,86.3199,2026-08-13 11:32:35
49,6.684,3.342,1.0,2.21,1.084,0.914,1,5,7,15,8.36568,2026-08-13 11:34:39
