instance_idx,mu,sigma,h,b,c_e,c_r,l_e,l_r,S_e,S_r,gap_vs_cdi_pct,timestamp
0,6.701,3.35,1.0,2.94,1.285,1.151,2,3,9,23,-2.8563,2026-08-14 07:39:13
1,7.332,3.666,1.0,2.581,2.967,1.115,4,5,1,43,-11.4035,2026-08-14 07:41:14
2,11.632,5.816,1.0,1.307,2.846,1.526,1,5,8,46,-4.83034,2026-08-14 07:43:47
3,8.892,4.446,1.0,2.938,3.706,3.098,3,5,1,49,-4.0064,2026-08-14 07:45:41
4,4.126,2.063,1.0,1.706,0.328,0.18,1,3,4,7,1.56916,2026-08-14 07:47:26
5,9.253,4.627,1.0,0.642,1.376,0.522,2,4,1,31,-8.63741,2026-08-14 07:49:22
6,6.268,3.134,1.0,1.334,0.935,0.825,1,2,6,8,-0.526799,2026-08-14 07:51:10
7,9.499,4.75,1.0,3.071,3.887,1.08,4,5,1,58,-14.3427,2026-08-14 07:53:25
8,10.044,5.022,1.0,1.742,0.537,0.472,1,5,10,15,5.33979,2026-08-14 07:55:49
9,4.361,2.18,1.0,1.911,0.631,0.296,1,4,4,10,0.496918,2026-08-14 07:57:37
10,4.619,2.309,1.0,2.532,1.408,1.027,1,4,5,12,0.354135,2026-08-14 07:59:28
11,8.841,4.42,1.0,3.095,0.615,0.576,1,3,11,14,2.84475,2026-08-14 08:01:29
12,2.98,1.49,1.0,3.39,0.117,0.103,2,4,4,13,-3.92083,2026-08-14 08:03:10
13,4.285,2.143,1.0,0.863,1.209,0.871,3,4,1,16,-9.85576,2026-08-14 08:04:53
14,7.237,3.619,1.0,1.8,3.891,0.862,2,3,1,24,-7.82719,2026-08-14 08:06:42
15,4.784,2.392,1.0,2.302,2.952,1.604,1,5,4,20,-2.43169,2026-08-14 08:08:37
16,9.843,4.921,1.0,0.787,3.416,1.161,1,2,1,18,-13.0736,2026-08-14 08:10:25
17,7.789,3.894,1.0,3.735,2.222,2.086,1,3,10,17,1.03811,2026-08-14 08:12:19
18,3.186,1.593,1.0,0.317,0.589,0.506,4,5,1,12,-29.7533,2026-08-14 08:14:04
19,11.238,5.619,1.0,3.791,0.778,0.431,1,4,13,34,2.31463,2026-08-14 08:16:23
20,3.62,1.81,1.0,0.589,0.507,0.484,4,5,1,16,-21.4908,2026-08-14 08:18:08
21,8.315,4.157,1.0,2.422,2.284,1.289,1,3,7,24,-0.319724,2026-08-14 08:20:02
22,4.81,2.405,1.0,0.811,0.505,0.447,1,5,3,4,14.4478,2026-08-14 08:21:51
23,7.792,3.896,1.0,2.614,1.898,0.95,3,4,1,35,-3.58355,2026-08-14 08:23:47
24,8.343,4.171,1.0,3.355,3.243,0.783,3,4,1,41,-8.8058,2026-08-14 08:25:48
25,10.637,5.319,1.0,2.418,0.622,0.209,1,5,11,32,1.78372,2026-08-14 08:28:22
26,9.526,4.763,1.0,1.491,2.778,0.419,1,5,1,46,-5.65401,2026-08-14 08:30:14
27,9.521,4.761,1.0,1.735,3.908,0.916,3,4,1,43,-16.4216,2026-08-14 08:32:19
28,7.472,3.736,1.0,0.295,1.395,0.76,2,3,1,17,-19.3266,2026-08-14 08:34:08
29,8.661,4.33,1.0,0.715,2.457,0.353,2,5,1,40,-11.4723,2026-08-14 08:35:59
30,2.675,1.337,1.0,3.543,0.782,0.687,2,3,7,8,1.16601,2026-08-14 08:37:44
31,6.95,3.475,1.0,1.515,1.918,0.889,2,4,1,28,-2.60555,2026-08-14 08:39:30
32,3.6,1.8,1.0,3.104,0.565,0.298,3,5,2,20,-5.91589,2026-08-14 08:41:15
33,9.051,4.526,1.0,0.312,1.799,0.145,2,3,1,23,-24.9985,2026-08-14 08:43:07
34,4.309,2.155,1.0,1.339,3.491,0.566,1,3,1,13,-5.00449,2026-08-14 08:44:49
35,6.314,3.157,1.0,3.779,2.853,0.832,1,5,6,31,-0.803905,2026-08-14 08:46:52
36,11.394,5.697,1.0,2.106,0.875,0.515,4,5,1,61,-9.1706,2026-08-14 08:49:15
37,9.885,4.942,1.0,3.336,3.707,2.091,2,3,1,35,-2.33411,2026-08-14 08:51:11
38,7.914,3.957,1.0,1.855,0.534,0.273,3,5,1,40,-4.72955,2026-08-14 08:53:05
39,7.221,3.611,1.0,1.028,3.14,1.188,3,4,1,30,2.408,2026-08-14 08:55:01
40,7.73,3.865,1.0,1.217,2.734,2.533,3,5,1,37,-8.01935,2026-08-14 08:56:58
41,2.538,1.269,1.0,1.584,2.639,0.767,2,4,1,11,-1.44993,2026-08-14 08:58:38
42,4.849,2.425,1.0,2.198,3.773,2.907,3,4,1,21,-2.68983,2026-08-14 09:00:28
43,8.075,4.037,1.0,1.257,2.627,1.084,1,4,2,30,-3.67453,2026-08-14 09:02:16
44,11.63,5.815,1.0,3.653,1.971,0.783,2,5,13,62,-0.911924,2026-08-14 09:04:35
45,8.953,4.476,1.0,3.047,3.623,0.457,1,5,5,46,-0.166678,2026-08-14 09:06:37
46,11.97,5.985,1.0,3.827,0.397,0.272,2,3,17,42,-1.92746,2026-08-14 09:08:29
47,8.709,4.354,1.0,2.13,3.772,3.04,3,4,1,38,-1.55402,2026-08-14 09:10:28
48,10.262,5.131,1.0,0.37,0.584,0.387,2,5,8,21,-7.04044,2026-08-14 09:13:05
49,9.831,4.915,1.0,2.398,2.615,0.66,1,4,5,40,-2.29672,2026-08-14 09:14:59
